title,category,views
"Jeans", bottoms, 2401
"Hoodie", tops, 278
"Cardigan", tops, 148
"Sweater", tops, 1455
"Boots", shoes, 1510
"Sneakers", shoes, 481
"Heels", shoes, 21
"Shoes", shoes, 638
"T-Shirt / T Shirt", tops, 526
"Blouse", tops, 89
