title,category,views
"Levi’s", jeans, 199
"Nike", sneakers, 345
"Adidas", sneakers, 272
"Gucci", couture, 34
"Prada", couture, 23
"Converse", sneakers, 172
"Gap", casual, 91
"Banana Republic", casual, 19
"Old Navy", casual, 41
