furniture-undetermined-furniture_system-production,3
product_design-housewares-kitchenware-conceptual,2
graphic_design-digital-digital_media-conceptual,4
furniture-undetermined-stool-conceptual,2
furniture-undetermined-drawing-prototype,9
product_design-housewares-bin-production,1
product_design-housewares-dish_mop-production,1
product_design-consumer_electronics-sculpture-conceptual,1
product_design-housewares-flatware-production,14
furniture-chair-undetermined-functional,1
architecture-architecture-undetermined-conceptual,2
product_design-packaging-bottle-conceptual,4
product_design-housewares-sink-production,1
product_design-active/sport-design_drawing-production,3
product_design-housewares-incense_holder-production,1
architecture-architecture-print-unbuilt,5
product_design-housewares-clock-production,2
product_design-housewares-fan-production,1
furniture-undetermined-desk-conceptual,2
product_design-consumer_electronics-toaster-prototype,1
graphic_design-digital-graphic_identity-production,2
product_design-consumer_electronics-coffee_maker-production,1
product_design-active/sport-design_drawing-conceptual,2
product_design-consumer_electronics-vacuum-production,2
architecture-urban_design-collage-unbuilt,3
graphic_design-print-catalogue-conceptual,1
graphic_design-print-booklet-conceptual,2
furniture-undetermined-sculpture-conceptual,1
graphic_design-print-menu-production,2
product_design-housewares-watch-production,1
product_design-consumer_electronics-handheld_computer-production,1
product_design-consumer_electronics-computer-prototype,1
product_design-housewares-tea_pot-production,1
graphic_design-print-sculpture-production,1
product_design-active/sport-tent-production,4
fashion-undetermined-earring-conceptual,3
product_design-packaging-packaging-production,11
product_design-active/sport-ski-production,3
product_design-housewares-faucet-production,1
product_design-consumer_electronics-stereo-conceptual,3
product_design-packaging-eyewear_case-production,1
product_design-packaging-bottle-production,1
graphic_design-print-advertisement-production,1
fashion-undetermined-clip-production,1
graphic_design-print-sculpture-conceptual,1
product_design-consumer_electronics-toaster-production,2
product_design-housewares-book-production,1
furniture-undetermined-table-prototype,1
fashion-undetermined-pants-conceptual,1
transportation-motorized-motorcycle-production,2
product_design-housewares-flask-production,1
furniture-undetermined-bench-production,5
product_design-consumer_electronics-calculator-production,4
furniture-undetermined-bed-production,8
product_design-housewares-gardening_tools-production,1
architecture-architecture-website-production,1
product_design-active/sport-boot-production,3
architecture-architecture-video-undetermined,1
graphic_design-print-installation-conceptual,2
product_design-housewares-bowl-production,2
graphic_design-print-stamps-production,4
product_design-consumer_electronics-clock-production,6
product_design-packaging-currency-production,2
transportation-non_motorized-helmet-prototype,1
architecture-architecture-video-conceptual,3
product_design-consumer_electronics-wearable_computer-production,1
graphic_design-print-packaging-conceptual,2
graphic_design-print-photograph-conceptual,1
architecture-architecture-architectural_drawing-conceptual,3
product_design-consumer_electronics-wearable_computer-conceptual,1
transportation-motorized-motorcycle-prototype,1
furniture-undetermined-bed-conceptual,1
product_design-consumer_electronics-citrus_press-production,1
product_design-active/sport-handheld_computer-production,1
architecture-architecture-print-production,1
product_design-consumer_electronics-iron-prototype,2
transportation-non_motorized-catamaran-built,1
graphic_design-digital-drawing-conceptual,2
product_design-consumer_electronics-iron-production,1
architecture-architecture-video-built,1
fashion-undetermined-jacket-production,2
product_design-consumer_electronics-thermostat-production,2
graphic_design-digital_media-website-production,1
product_design-undetermined-sculpture-conceptual,1
furniture-undetermined-clothes_rack-production,1
fashion-undetermined-vest-production,1
product_design-housewares-drawing-conceptual,1
product_design-consumer_electronics-workstation-prototype,1
architecture-architecture-drawing-undetermined,1
fashion-undetermined-dress-production,1
furniture-undetermined-sofa-production,7
furniture-undetermined-ottoman-production,3
product_design-housewares-stove-conceptual,1
product_design-housewares-wine_opener-production,1
fashion-undetermined-watch-production,3
graphic_design-print-apparel-production,3
graphic_design-digital-print-conceptual,2
graphic_design-digital-software-production,1
architecture-urban_design-drawing-unbuilt,1
architecture-architecture-architectural_drawing-unbuilt,1
product_design-packaging-bag-conceptual,1
product_design-undetermined-stereo-production,3
graphic_design-print-currency-production,2
product_design-consumer_electronics-monitoring_band-production,1
product_design-active/sport-snowshoes-production,1
